Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Intensity(normalised)
 20085.27257947    497.87723619      2.49025764      0.00183193
 20090.48972274    497.74794632      2.49090448      0.00183767
 20095.70686601    497.61872357      2.49155132      0.00184333
 20100.92400928    497.48956791      2.49219817      0.00184893
 20106.14115256    497.36047927      2.49284501      0.00185446
 20111.35829583    497.23145761      2.49349185      0.00185993
 20116.57543910    497.10250287      2.49413870      0.00186534
 20121.79258237    496.97361500      2.49478554      0.00187070
 20127.00972564    496.84479395      2.49543239      0.00187599
 20132.22686892    496.71603967      2.49607923      0.00188122
 20137.44401219    496.58735210      2.49672607      0.00188639
 20142.66115546    496.45873119      2.49737292      0.00189149
 20147.87829873    496.33017689      2.49801976      0.00189653
 20153.09544200    496.20168915      2.49866660      0.00190148
 20158.31258528    496.07326792      2.49931345      0.00190635
 20163.52972855    495.94491315      2.49996029      0.00191114
 20168.74687182    495.81662478      2.50060714      0.00191583
 20173.96401509    495.68840276      2.50125398      0.00192041
 20179.18115836    495.56024704      2.50190082      0.00192488
 20184.39830164    495.43215758      2.50254767      0.00192923
 20189.61544491    495.30413431      2.50319451      0.00193345
 20194.83258818    495.17617719      2.50384135      0.00193752
 20200.04973145    495.04828616      2.50448820      0.00194144
 20205.26687472    494.92046118      2.50513504      0.00194519
 20210.48401800    494.79270220      2.50578188      0.00194877
 20215.70116127    494.66500915      2.50642873      0.00195216
 20220.91830454    494.53738200      2.50707557      0.00195535
 20226.13544781    494.40982069      2.50772242      0.00195833
 20231.35259108    494.28232517      2.50836926      0.00196109
 20236.56973435    494.15489538      2.50901610      0.00196362
 20241.78687763    494.02753129      2.50966295      0.00196590
 20247.00402090    493.90023283      2.51030979      0.00196793
 20252.22116417    493.77299996      2.51095663      0.00196969
 20257.43830744    493.64583262      2.51160348      0.00197118
 20262.65545071    493.51873077      2.51225032      0.00197239
 20267.87259399    493.39169435      2.51289716      0.00197331
 20273.08973726    493.26472332      2.51354401      0.00197393
 20278.30688053    493.13781762      2.51419085      0.00197425
 20283.52402380    493.01097720      2.51483770      0.00197426
 20288.74116707    492.88420201      2.51548454      0.00197395
 20293.95831035    492.75749201      2.51613138      0.00197333
 20299.17545362    492.63084714      2.51677823      0.00197238
 20304.39259689    492.50426735      2.51742507      0.00197112
 20309.60974016    492.37775260      2.51807191      0.00196954
 20314.82688343    492.25130282      2.51871876      0.00196763
 20320.04402671    492.12491798      2.51936560      0.00196540
 20325.26116998    491.99859802      2.52001244      0.00196286
 20330.47831325    491.87234289      2.52065929      0.00196001
 20335.69545652    491.74615254      2.52130613      0.00195685
 20340.91259979    491.62002693      2.52195298      0.00195338
 20346.12974306    491.49396599      2.52259982      0.00194963
 20351.34688634    491.36796969      2.52324666      0.00194559
 20356.56402961    491.24203797      2.52389351      0.00194128
 20361.78117288    491.11617079      2.52454035      0.00193670
 20366.99831615    490.99036808      2.52518719      0.00193186
 20372.21545942    490.86462981      2.52583404      0.00192679
 20377.43260270    490.73895593      2.52648088      0.00192149
 20382.64974597    490.61334638      2.52712772      0.00191597
 20387.86688924    490.48780112      2.52777457      0.00191025
 20393.08403251    490.36232009      2.52842141      0.00190435
 20398.30117578    490.23690325      2.52906826      0.00189828
 20403.51831906    490.11155055      2.52971510      0.00189206
 20408.73546233    489.98626193      2.53036194      0.00188570
 20413.95260560    489.86103736      2.53100879      0.00187922
 20419.16974887    489.73587678      2.53165563      0.00187265
 20424.38689214    489.61078013      2.53230247      0.00186598
 20429.60403542    489.48574738      2.53294932      0.00185925
 20434.82117869    489.36077848      2.53359616      0.00185248
 20440.03832196    489.23587336      2.53424300      0.00184567
 20445.25546523    489.11103199      2.53488985      0.00183885
 20450.47260850    488.98625432      2.53553669      0.00183203
 20455.68975177    488.86154030      2.53618354      0.00182523
 20460.90689505    488.73688988      2.53683038      0.00181848
 20466.12403832    488.61230301      2.53747722      0.00181177
 20471.34118159    488.48777964      2.53812407      0.00180514
 20476.55832486    488.36331972      2.53877091      0.00179860
 20481.77546813    488.23892321      2.53941775      0.00179216
 20486.99261141    488.11459006      2.54006460      0.00178583
 20492.20975468    487.99032021      2.54071144      0.00177964
 20497.42689795    487.86611362      2.54135828      0.00177359
 20502.64404122    487.74197025      2.54200513      0.00176770
 20507.86118449    487.61789004      2.54265197      0.00176198
 20513.07832777    487.49387294      2.54329882      0.00175644
 20518.29547104    487.36991892      2.54394566      0.00175109
 20523.51261431    487.24602791      2.54459250      0.00174595
 20528.72975758    487.12219987      2.54523935      0.00174102
 20533.94690085    486.99843475      2.54588619      0.00173632
 20539.16404413    486.87473251      2.54653303      0.00173184
 20544.38118740    486.75109310      2.54717988      0.00172761
 20549.59833067    486.62751646      2.54782672      0.00172362
 20554.81547394    486.50400256      2.54847356      0.00171989
 20560.03261721    486.38055134      2.54912041      0.00171641
 20565.24976049    486.25716276      2.54976725      0.00171320
 20570.46690376    486.13383677      2.55041410      0.00171027
 20575.68404703    486.01057331      2.55106094      0.00170760
 20580.90119030    485.88737235      2.55170778      0.00170522
 20586.11833357    485.76423384      2.55235463      0.00170312
 20591.33547684    485.64115772      2.55300147      0.00170131
 20596.55262012    485.51814396      2.55364831      0.00169979
 20601.76976339    485.39519249      2.55429516      0.00169856
 20606.98690666    485.27230329      2.55494200      0.00169763
 20612.20404993    485.14947629      2.55558884      0.00169700
 20617.42119320    485.02671145      2.55623569      0.00169667
 20622.63833648    484.90400873      2.55688253      0.00169665
 20627.85547975    484.78136808      2.55752938      0.00169694
 20633.07262302    484.65878944      2.55817622      0.00169754
 20638.28976629    484.53627278      2.55882306      0.00169845
 20643.50690956    484.41381805      2.55946991      0.00169968
 20648.72405284    484.29142519      2.56011675      0.00170123
 20653.94119611    484.16909417      2.56076359      0.00170310
 20659.15833938    484.04682493      2.56141044      0.00170530
 20664.37548265    483.92461744      2.56205728      0.00170783
 20669.59262592    483.80247163      2.56270412      0.00171069
 20674.80976920    483.68038747      2.56335097      0.00171389
 20680.02691247    483.55836491      2.56399781      0.00171744
 20685.24405574    483.43640390      2.56464466      0.00172133
 20690.46119901    483.31450439      2.56529150      0.00172558
 20695.67834228    483.19266634      2.56593834      0.00173019
 20700.89548555    483.07088971      2.56658519      0.00173517
 20706.11262883    482.94917444      2.56723203      0.00174051
 20711.32977210    482.82752049      2.56787887      0.00174625
 20716.54691537    482.70592782      2.56852572      0.00175237
 20721.76405864    482.58439637      2.56917256      0.00175888
 20726.98120191    482.46292611      2.56981940      0.00176581
 20732.19834519    482.34151697      2.57046625      0.00177315
 20737.41548846    482.22016893      2.57111309      0.00178091
 20742.63263173    482.09888193      2.57175994      0.00178911
 20747.84977500    481.97765592      2.57240678      0.00179776
 20753.06691827    481.85649087      2.57305362      0.00180687
 20758.28406155    481.73538672      2.57370047      0.00181645
 20763.50120482    481.61434343      2.57434731      0.00182651
 20768.71834809    481.49336095      2.57499415      0.00183706
 20773.93549136    481.37243924      2.57564100      0.00184813
 20779.15263463    481.25157824      2.57628784      0.00185971
 20784.36977791    481.13077793      2.57693468      0.00187184
 20789.58692118    481.01003824      2.57758153      0.00188451
 20794.80406445    480.88935914      2.57822837      0.00189775
 20800.02120772    480.76874058      2.57887522      0.00191157
 20805.23835099    480.64818251      2.57952206      0.00192598
 20810.45549427    480.52768488      2.58016890      0.00194100
 20815.67263754    480.40724766      2.58081575      0.00195665
 20820.88978081    480.28687080      2.58146259      0.00197294
 20826.10692408    480.16655424      2.58210943      0.00198989
 20831.32406735    480.04629795      2.58275628      0.00200750
 20836.54121062    479.92610189      2.58340312      0.00202580
 20841.75835390    479.80596599      2.58404996      0.00204481
 20846.97549717    479.68589023      2.58469681      0.00206453
 20852.19264044    479.56587455      2.58534365      0.00208498
 20857.40978371    479.44591892      2.58599050      0.00210618
 20862.62692698    479.32602328      2.58663734      0.00212813
 20867.84407026    479.20618758      2.58728418      0.00215086
 20873.06121353    479.08641180      2.58793103      0.00217438
 20878.27835680    478.96669587      2.58857787      0.00219870
 20883.49550007    478.84703976      2.58922471      0.00222382
 20888.71264334    478.72744342      2.58987156      0.00224978
 20893.92978662    478.60790680      2.59051840      0.00227656
 20899.14692989    478.48842987      2.59116524      0.00230420
 20904.36407316    478.36901257      2.59181209      0.00233269
 20909.58121643    478.24965486      2.59245893      0.00236204
 20914.79835970    478.13035670      2.59310578      0.00239227
