Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Molar Extinction Coefficients(M^-1 cm^-1)
 28419.46091485    351.87154984      3.52356536      0.06186862
 28424.12732304    351.81378285      3.52414392      0.07347322
 28428.79373123    351.75603482      3.52472249      0.08715067
 28433.46013941    351.69830575      3.52530105      0.10325129
 28438.12654760    351.64059562      3.52587961      0.12218089
 28442.79295579    351.58290443      3.52645817      0.14440897
 28447.45936398    351.52523217      3.52703673      0.17047791
 28452.12577217    351.46757883      3.52761529      0.20101344
 28456.79218036    351.40994439      3.52819385      0.23673647
 28461.45858854    351.35232885      3.52877241      0.27847633
 28466.12499673    351.29473220      3.52935097      0.32718582
 28470.79140492    351.23715444      3.52992954      0.38395800
 28475.45781311    351.17959554      3.53050810      0.45004509
 28480.12422130    351.12205550      3.53108666      0.52687962
 28484.79062949    351.06453432      3.53166522      0.61609806
 28489.45703767    351.00703198      3.53224378      0.71956718
 28494.12344586    350.94954848      3.53282234      0.83941342
 28498.78985405    350.89208380      3.53340090      0.97805559
 28503.45626224    350.83463793      3.53397946      1.13824102
 28508.12267043    350.77721087      3.53455802      1.32308573
 28512.78907862    350.71980261      3.53513659      1.53611880
 28517.45548680    350.66241314      3.53571515      1.78133125
 28522.12189499    350.60504244      3.53629371      2.06322994
 28526.78830318    350.54769052      3.53687227      2.38689679
 28531.45471137    350.49035735      3.53745083      2.75805366
 28536.12111956    350.43304294      3.53802939      3.18313345
 28540.78752775    350.37574727      3.53860795      3.66935766
 28545.45393593    350.31847033      3.53918651      4.22482093
 28550.12034412    350.26121211      3.53976507      4.85858306
 28554.78675231    350.20397261      3.54034363      5.58076866
 28559.45316050    350.14675181      3.54092220      6.40267521
 28564.11956869    350.08954971      3.54150076      7.33688964
 28568.78597688    350.03236629      3.54207932      8.39741401
 28573.45238506    349.97520156      3.54265788      9.59980048
 28578.11879325    349.91805549      3.54323644     10.96129617
 28582.78520144    349.86092808      3.54381500     12.50099787
 28587.45160963    349.80381932      3.54439356     14.24001718
 28592.11801782    349.74672920      3.54497212     16.20165609
 28596.78442600    349.68965771      3.54555068     18.41159310
 28601.45083419    349.63260485      3.54612925     20.89808019
 28606.11724238    349.57557060      3.54670781     23.69215022
 28610.78365057    349.51855495      3.54728637     26.82783507
 28615.45005876    349.46155790      3.54786493     30.34239387
 28620.11646695    349.40457944      3.54844349     34.27655127
 28624.78287513    349.34761955      3.54902205     38.67474513
 28629.44928332    349.29067823      3.54960061     43.58538288
 28634.11569151    349.23375547      3.55017917     49.06110600
 28638.78209970    349.17685126      3.55075773     55.15906139
 28643.44850789    349.11996559      3.55133630     61.94117856
 28648.11491608    349.06309846      3.55191486     69.47445132
 28652.78132426    349.00624984      3.55249342     77.83122233
 28657.44773245    348.94941974      3.55307198     87.08946864
 28662.11414064    348.89260815      3.55365054     97.33308642
 28666.78054883    348.83581505      3.55422910    108.65217235
 28671.44695702    348.77904044      3.55480766    121.14329932
