Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Intensity(normalised)
 19095.74034041    523.67698656      2.36757092      0.00035767
 19105.74534291    523.40275546      2.36881138      0.00036446
 19115.75034541    523.12881142      2.37005185      0.00037156
 19125.75534791    522.85515399      2.37129231      0.00037897
 19135.76035042    522.58178272      2.37253277      0.00038670
 19145.76535292    522.30869716      2.37377323      0.00039476
 19155.77035542    522.03589686      2.37501370      0.00040315
 19165.77535792    521.76338138      2.37625416      0.00041187
 19175.78036042    521.49115028      2.37749462      0.00042095
 19185.78536292    521.21920309      2.37873508      0.00043036
 19195.79036542    520.94753939      2.37997555      0.00044013
 19205.79536792    520.67615873      2.38121601      0.00045026
 19215.80037043    520.40506067      2.38245647      0.00046075
 19225.80537293    520.13424476      2.38369694      0.00047160
 19235.81037543    519.86371057      2.38493740      0.00048282
 19245.81537793    519.59345765      2.38617786      0.00049441
 19255.82038043    519.32348558      2.38741832      0.00050637
 19265.82538293    519.05379390      2.38865879      0.00051870
 19275.83038543    518.78438218      2.38989925      0.00053141
 19285.83538793    518.51525000      2.39113971      0.00054449
 19295.84039044    518.24639690      2.39238017      0.00055795
 19305.84539294    517.97782247      2.39362064      0.00057178
 19315.85039544    517.70952626      2.39486110      0.00058598
 19325.85539794    517.44150785      2.39610156      0.00060056
 19335.86040044    517.17376680      2.39734202      0.00061550
 19345.86540294    516.90630268      2.39858249      0.00063081
 19355.87040544    516.63911507      2.39982295      0.00064649
 19365.87540794    516.37220352      2.40106341      0.00066252
 19375.88041045    516.10556763      2.40230388      0.00067891
 19385.88541295    515.83920696      2.40354434      0.00069565
 19395.89041545    515.57312108      2.40478480      0.00071273
 19405.89541795    515.30730957      2.40602526      0.00073015
 19415.90042045    515.04177200      2.40726573      0.00074789
 19425.90542295    514.77650796      2.40850619      0.00076596
 19435.91042545    514.51151702      2.40974665      0.00078433
 19445.91542795    514.24679875      2.41098711      0.00080301
 19455.92043046    513.98235274      2.41222758      0.00082197
 19465.92543296    513.71817857      2.41346804      0.00084122
 19475.93043546    513.45427582      2.41470850      0.00086073
 19485.93543796    513.19064406      2.41594896      0.00088050
 19495.94044046    512.92728289      2.41718943      0.00090051
 19505.94544296    512.66419189      2.41842989      0.00092075
 19515.95044546    512.40137064      2.41967035      0.00094120
 19525.95544796    512.13881872      2.42091082      0.00096185
 19535.96045047    511.87653573      2.42215128      0.00098268
 19545.96545297    511.61452125      2.42339174      0.00100368
 19555.97045547    511.35277487      2.42463220      0.00102482
 19565.97545797    511.09129617      2.42587267      0.00104610
 19575.98046047    510.83008474      2.42711313      0.00106748
 19585.98546297    510.56914019      2.42835359      0.00108896
 19595.99046547    510.30846209      2.42959405      0.00111051
 19605.99546797    510.04805004      2.43083452      0.00113212
 19616.00047048    509.78790364      2.43207498      0.00115376
 19626.00547298    509.52802247      2.43331544      0.00117541
 19636.01047548    509.26840613      2.43455590      0.00119705
 19646.01547798    509.00905422      2.43579637      0.00121867
 19656.02048048    508.74996633      2.43703683      0.00124023
 19666.02548298    508.49114206      2.43827729      0.00126171
 19676.03048548    508.23258101      2.43951776      0.00128311
 19686.03548798    507.97428277      2.44075822      0.00130438
 19696.04049049    507.71624695      2.44199868      0.00132552
 19706.04549299    507.45847314      2.44323914      0.00134649
 19716.05049549    507.20096096      2.44447961      0.00136727
 19726.05549799    506.94370999      2.44572007      0.00138786
 19736.06050049    506.68671984      2.44696053      0.00140821
 19746.06550299    506.42999012      2.44820099      0.00142831
 19756.07050549    506.17352043      2.44944146      0.00144814
 19766.07550799    505.91731037      2.45068192      0.00146768
 19776.08051050    505.66135955      2.45192238      0.00148690
 19786.08551300    505.40566758      2.45316284      0.00150580
 19796.09051550    505.15023407      2.45440331      0.00152433
 19806.09551800    504.89505862      2.45564377      0.00154250
 19816.10052050    504.64014084      2.45688423      0.00156027
 19826.10552300    504.38548034      2.45812470      0.00157764
 19836.11052550    504.13107674      2.45936516      0.00159458
 19846.11552800    503.87692964      2.46060562      0.00161108
 19856.12053051    503.62303866      2.46184608      0.00162712
 19866.12553301    503.36940341      2.46308655      0.00164268
 19876.13053551    503.11602350      2.46432701      0.00165777
 19886.13553801    502.86289855      2.46556747      0.00167235
 19896.14054051    502.61002817      2.46680793      0.00168642
 19906.14554301    502.35741199      2.46804840      0.00169998
 19916.15054551    502.10504960      2.46928886      0.00171301
 19926.15554801    501.85294065      2.47052932      0.00172550
 19936.16055052    501.60108473      2.47176978      0.00173744
 19946.16555302    501.34948148      2.47301025      0.00174884
 19956.17055552    501.09813051      2.47425071      0.00175969
 19966.17555802    500.84703145      2.47549117      0.00176998
 19976.18056052    500.59618390      2.47673164      0.00177971
 19986.18556302    500.34558751      2.47797210      0.00178889
 19996.19056552    500.09524188      2.47921256      0.00179752
 20006.19556802    499.84514665      2.48045302      0.00180559
 20016.20057053    499.59530143      2.48169349      0.00181312
 20026.20557303    499.34570586      2.48293395      0.00182011
 20036.21057553    499.09635956      2.48417441      0.00182657
 20046.21557803    498.84726215      2.48541487      0.00183251
