Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Intensity(normalised)
 18531.70203000    539.61582921      2.29763906      0.00038660
 18541.70703250    539.32465549      2.29887952      0.00038890
 18551.71203500    539.03379584      2.30011998      0.00039140
 18561.71703750    538.74324974      2.30136045      0.00039411
 18571.72204001    538.45301669      2.30260091      0.00039704
 18581.72704251    538.16309618      2.30384137      0.00040021
 18591.73204501    537.87348771      2.30508183      0.00040362
 18601.73704751    537.58419077      2.30632230      0.00040729
 18611.74205001    537.29520486      2.30756276      0.00041124
 18621.74705251    537.00652948      2.30880322      0.00041548
 18631.75205501    536.71816414      2.31004368      0.00042002
 18641.75705751    536.43010832      2.31128415      0.00042488
 18651.76206002    536.14236153      2.31252461      0.00043007
 18661.76706252    535.85492328      2.31376507      0.00043561
 18671.77206502    535.56779307      2.31500553      0.00044150
 18681.77706752    535.28097040      2.31624600      0.00044778
 18691.78207002    534.99445479      2.31748646      0.00045445
 18701.78707252    534.70824573      2.31872692      0.00046152
 18711.79207502    534.42234274      2.31996739      0.00046901
 18721.79707752    534.13674532      2.32120785      0.00047693
 18731.80208003    533.85145299      2.32244831      0.00048530
 18741.80708253    533.56646526      2.32368877      0.00049414
 18751.81208503    533.28178163      2.32492924      0.00050344
 18761.81708753    532.99740163      2.32616970      0.00051323
 18771.82209003    532.71332477      2.32741016      0.00052352
 18781.82709253    532.42955056      2.32865062      0.00053432
 18791.83209503    532.14607852      2.32989109      0.00054564
 18801.83709753    531.86290817      2.33113155      0.00055749
 18811.84210004    531.58003902      2.33237201      0.00056988
 18821.84710254    531.29747060      2.33361247      0.00058283
 18831.85210504    531.01520242      2.33485294      0.00059633
 18841.85710754    530.73323402      2.33609340      0.00061039
 18851.86211004    530.45156490      2.33733386      0.00062503
 18861.86711254    530.17019460      2.33857433      0.00064025
 18871.87211504    529.88912264      2.33981479      0.00065606
 18881.87711754    529.60834854      2.34105525      0.00067246
 18891.88212005    529.32787184      2.34229571      0.00068945
 18901.88712255    529.04769205      2.34353618      0.00070705
 18911.89212505    528.76780871      2.34477664      0.00072524
 18921.89712755    528.48822135      2.34601710      0.00074404
 18931.90213005    528.20892950      2.34725756      0.00076344
 18941.90713255    527.92993269      2.34849803      0.00078345
 18951.91213505    527.65123046      2.34973849      0.00080406
 18961.91713755    527.37282233      2.35097895      0.00082527
 18971.92214006    527.09470784      2.35221941      0.00084708
 18981.92714256    526.81688653      2.35345988      0.00086949
 18991.93214506    526.53935793      2.35470034      0.00089248
 19001.93714756    526.26212159      2.35594080      0.00091605
 19011.94215006    525.98517704      2.35718127      0.00094019
 19021.94715256    525.70852381      2.35842173      0.00096489
 19031.95215506    525.43216146      2.35966219      0.00099015
 19041.95715756    525.15608952      2.36090265      0.00101593
 19051.96216007    524.88030753      2.36214312      0.00104224
 19061.96716257    524.60481504      2.36338358      0.00106905
 19071.97216507    524.32961159      2.36462404      0.00109635
 19081.97716757    524.05469673      2.36586450      0.00112410
 19091.98217007    523.78007001      2.36710497      0.00115230
 19101.98717257    523.50573096      2.36834543      0.00118091
 19111.99217507    523.23167915      2.36958589      0.00120991
 19121.99717757    522.95791411      2.37082635      0.00123927
 19132.00218008    522.68443540      2.37206682      0.00126896
 19142.00718258    522.41124257      2.37330728      0.00129894
 19152.01218508    522.13833518      2.37454774      0.00132918
 19162.01718758    521.86571276      2.37578821      0.00135965
